ID_VOLONTAIRE ; NOM;PRENOM ;AGE;GENRE; PAYS_NATIONALITE ;TITRE_ETUDE;PROFESSION; EMAIL ;IDONEITE
VOL006;Jankauskas;Gabija;61;F;Lituanie;Master;;gabija.jankauskas@hotmail.com;trop vieux
VOL005;Maes;Chloe;33;F;Belgique;Ingenieur;Mécanicien;chloe.maes@mail.be;apte
VOL042;Dupont;Luc;23;M;France / Pologne;;;luc.dupont@mail.fr;non-formé
VOL009;Weber;Mia;42;F;Allemagne;Licence;Biologiste;mia.weber@hotmail.com;non-eligible
VOL070;Murphy;Aoife;16;F;Irlande;Licence;;aoife.murphy@gmail.com;trop jeune
VOL049;Lambert;Nathan;34;M;Belgique;Bac;Médecin;nathan.lambert@mail.be;non-eligible
VOL067;Wagner;Lea;30;F;Autriche;Bac;;lea.wagner@mail.at;non-eligible
VOL089;Kovacs;Peter;50;M;Hongrie / Finlande;;;peter.kovacs@gmail.com;trop vieux
VOL088;Garcia;Ana;38;F;Espagne;;;ana.garcia@gmail.com;non-eligible
VOL081;Olsen;Emma;41;F;Norvège;;Sportif;emma.olsen@hotmail.com;non-eligible
VOL017;Kask;Markus;42;M;Estonie;;;markus.kask@mail.ee;non-eligible
VOL075;Jansons;Laura;23;F;Lettonie / Italie;Licence;;laura.jansons@gmail.com;non-formé
VOL079;Jankauskas;Mantas;37;M;Lituanie;;Mécanicien;mantas.jankauskas@yahoo.com;non-eligible
VOL039;Szabo;Bence;32;M;Hongrie;Ingenieur;;bence.szabo@gmail.com;apte
VOL015;Leroy;Julie;41;F;Belgique;Doctorat;Ingénieur;julie.leroy@hotmail.com;apte
VOL074;Novak;Tomas;51;M;République Tchèque;;Data analyst;tomas.novak@yahoo.com;trop vieux
VOL021;Bianchi;Paolo;42;M;Italie;Licence;;paolo.bianchi@hotmail.com;non-eligible
VOL094;Sepp;Rasmus;28;M;Estonie / Slovaquie;;;rasmus.sepp@hotmail.com;non-eligible
VOL038;Nagy;Gabor;47;M;Hongrie;Doctorat;Médecin;gabor.nagy@mail.hu;apte
VOL097;Sepp;Anna;38;F;Estonie;;Chercheur;anna.sepp@yahoo.com;non-eligible
VOL062;Stan;Mihai;55;M;Roumanie;Licence;Cuisinier;mihai.stan@mail.ro;trop vieux
VOL093;Hansen;Jonas;54;M;Danemark;Master;Médecin;jonas.hansen@gmail.com;trop vieux
VOL045;Wojcik;Jan;17;M;Pologne;Ingenieur;Sportif;jan.wojcik@mail.pl;trop jeune
VOL019;Silva;Luis;22;M;Portugal;Doctorat;Ingénieur;luis.silva@gmail.com;non-formé
VOL056;Esposito;Sara;39;F;Italie;Licence;;sara.esposito@gmail.com;non-eligible
VOL063;De_Jong;Jan;39;M;Pays-Bas;Doctorat;;jan.dejong@hotmail.com;apte
VOL082;Novak;Zuzana;58;F;Slovaquie;Bac;;zuzana.novak@gmail.com;trop vieux
VOL090;Graf;Leon;28;M;Suisse;Master;Cuisinier;leon.graf@mail.ch;apte
VOL022;Sanchez;Carmen;30;F;Espagne;Licence;Cuisinier;carmen.sanchez@hotmail.com;non-eligible
VOL037;Stankevicius;Gabija;34;X;Lituanie;Licence;Informaticien;gabija.stankevicius@gmail.com;non-eligible
VOL054;Fischer;Karl;18;M;Allemagne;;;karl.fischer@mail.de;non-formé
VOL087;Moreau;Emma;39;F;France / Belgique;;Médecin;emma.moreau@hotmail.com;non-eligible
VOL050;Santos;Beatriz;23;F;Portugal;Master;Data analyst;beatriz.santos@hotmail.com;non-formé
VOL072;Weber;Lena;19;F;Allemagne;Bac;;lena.weber@hotmail.com;non-formé
VOL055;Horvath;Tomas;21;M;Slovaquie;;;tomas.horvath@gmail.com;non-formé
VOL033;Johansen;Emma;52;F;Norvège;Ingenieur;Chercheur;emma.johansen@gmail.com;trop vieux
VOL002;Maes;Noah;38;M;Belgique;Licence;Enseignant;noah.maes@mail.be;non-eligible
VOL073;Oliveira;Beatriz;17;F;Portugal / Finlande;;;beatriz.oliveira@mail.pt;trop jeune
VOL076;Ferreira;Sofia;53;F;Portugal / Allemagne;Doctorat;Infirmier;sofia.ferreira@mail.pt;trop vieux
VOL057;Nikolov;Elena;51;F;Bulgarie;Master;Médecin;elena.nikolov@gmail.com;trop vieux
VOL024;Dvorak;Katerina;54;F;République Tchèque;Licence;Plombier;katerina1.dvorak@mail.cz;trop vieux
VOL060;Kelly;Sean;66;M;Irlande;Ingenieur;Mécanicien;sean.kelly@gmail.com;trop vieux
VOL004;Walsh;Mia;48;F;Irlande;Master;Professeur de physique;mia.walsh@gmail.com;apte
VOL091;Preda;Elena;70;F;Roumanie;Ingenieur;Chercheur;elena.preda@yahoo.com;trop vieux
VOL036;Andersen;Lars;48;M;Norvège;Bac;;lars.andersen@mail.no;non-eligible
VOL016;Silva;Miguel;46;M;Portugal;;;miguel.silva@mail.pt;non-eligible
VOL069;Meier;Zoe;39;F;Suisse;Licence;Cuisinier;zoe.meier@gmail.com;non-eligible
VOL035;Andersen;Jonas;46;M;Norvège / Grèce;Licence;Professeur de physique;jonas.andersen@yahoo.com;non-eligible
VOL041;Esposito;Sara;37;F;Italie;Licence;Électricien;sara.esposito@yahoo.com;non-eligible
VOL023;Leroy;Lea;52;F;Belgique;;Biologiste;lea.leroy@yahoo.com;trop vieux
VOL003;Lambert;Chloe;50;F;Belgique;Master;Data analyst;chloe.lambert@yahoo.com;trop vieux
VOL078;Dimitrov;Georgi;57;M;Bulgarie;Ingenieur;Sportif;georgi.dimitrov@mail.bg;trop vieux
